id,merchant_id,merchant_name,merchant_ciiu,amount_in_cents,created_date,payment_method_type,status
1000000,1040,Comercio_1040,G4741,78240,2025-05-08 08:02:36,NEQUI,APPROVED
1000001,1007,Comercio_1007,I5610,21469,2025-04-03 20:33:29,BANCOLOMBIA,APPROVED
1000002,1001,Comercio_1001,G4711,73617,2025-06-27 15:29:33,PSE,APPROVED
1000003,1047,Comercio_1047,G4761,40190,2025-04-05 00:05:00,PSE,REFUNDED
1000004,1017,Comercio_1017,G4773,107172,2025-06-24 21:22:58,NEQUI,APPROVED
1000005,1015,Comercio_1015,G4773,66358,2025-04-11 01:43:57,BANCOLOMBIA,APPROVED
1000006,1014,Comercio_1014,G4751,237437,2025-05-14 16:44:00,PSE,APPROVED
1000007,1008,Comercio_1008,I5610,121025,2025-06-24 12:04:47,BANCOLOMBIA,APPROVED
1000008,1047,Comercio_1047,G4761,17115,2025-06-08 04:10:46,,APPROVED
1000009,1006,Comercio_1006,I5610,32957,2025-03-02 04:47:58,NEQUI,APPROVED
1000010,1043,Comercio_1043,G4741,70446,2025-06-13 21:47:16,,APPROVED
1000011,1047,Comercio_1047,G4761,67430,2025-03-13 00:20:40,,APPROVED
1000012,1034,Comercio_1034,G4791,99512,2025-08-12 03:26:00,CASH,DECLINED
1000013,1005,Comercio_1005,I5610,99824,2025-05-30 14:11:02,CASH,APPROVED
1000014,1037,Comercio_1037,H4922,40064,2025-05-01 06:25:45,,DECLINED
1000015,1027,Comercio_1027,S9602,29251,2025-05-12 19:33:03,BANCOLOMBIA,APPROVED
1000016,1002,Comercio_1002,G4711,32151,2025-05-05 09:50:45,PSE,APPROVED
1000017,1001,Comercio_1001,G4711,42842,2025-08-02 19:24:37,CARD,APPROVED
1000018,1005,Comercio_1005,I5610,62518,2025-05-24 02:25:09,CASH,APPROVED
1000019,1013,Comercio_1013,G4751,240743,2025-05-19 17:18:17,PSE,APPROVED
1000020,1014,Comercio_1014,G4751,263986,2025-05-23 17:00:46,NEQUI,REFUNDED
1000021,1032,Comercio_1032,G4791,97468,2025-03-12 05:52:33,CARD,APPROVED
1000022,1038,Comercio_1038,H4922,18386,2025-03-30 21:31:56,BANCOLOMBIA,APPROVED
1000023,1001,Comercio_1001,G4711,33973,2025-06-13 16:42:20,CARD,APPROVED
1000024,1035,Comercio_1035,H4922,24866,2025-08-09 12:40:15,CARD,DECLINED
1000025,1012,Comercio_1012,G4751,333204,2025-03-28 10:31:27,PSE,APPROVED
1000026,1045,Comercio_1045,G4761,26518,2025-05-08 19:20:47,NEQUI,APPROVED
1000027,1041,Comercio_1041,G4741,391252,2025-07-10 11:38:46,BANCOLOMBIA,DECLINED
1000028,1044,Comercio_1044,G4741,51600,2025-07-27 23:53:56,NEQUI,APPROVED
1000029,1034,Comercio_1034,G4791,135046,2025-04-02 01:46:09,CARD,APPROVED
1000030,1026,Comercio_1026,S9602,65157,2025-08-08 11:41:33,CASH,APPROVED
1000031,1014,Comercio_1014,G4751,282283,2025-08-12 15:03:44,NEQUI,APPROVED
1000032,1028,Comercio_1028,S9602,54342,2025-03-07 21:02:15,CASH,DECLINED
1000033,1037,Comercio_1037,H4922,19688,2025-05-19 09:28:05,CASH,APPROVED
1000034,1017,Comercio_1017,G4773,80722,2025-07-24 12:47:54,CARD,APPROVED
1000035,1000,Comercio_1000,G4711,27357,2025-03-04 00:05:45,CASH,APPROVED
1000036,1048,Comercio_1048,G4761,28479,2025-02-20 17:51:20,PSE,APPROVED
1000037,1010,Comercio_1010,G4751,219708,2025-03-09 02:18:51,NEQUI,APPROVED
1000038,1044,Comercio_1044,G4741,86626,2025-06-24 14:05:01,CARD,APPROVED
1000039,1027,Comercio_1027,S9602,32835,2025-07-22 10:06:28,BANCOLOMBIA,APPROVED
1000040,1021,Comercio_1021,R9311,70692,2025-05-15 21:00:22,BANCOLOMBIA,DECLINED
1000041,1017,Comercio_1017,G4773,94012,2025-05-16 03:12:06,PSE,APPROVED
1000042,1009,Comercio_1009,I5610,31922,2025-02-18 05:35:35,NEQUI,APPROVED
1000043,1013,Comercio_1013,G4751,213459,2025-06-16 23:29:07,CARD,APPROVED
1000044,1048,Comercio_1048,G4761,81657,2025-05-01 01:35:40,CARD,APPROVED
1000045,1021,Comercio_1021,R9311,76970,2025-03-22 23:01:50,CARD,APPROVED
1000046,1006,Comercio_1006,I5610,40318,2025-05-04 02:10:15,NEQUI,APPROVED
1000047,1005,Comercio_1005,I5610,52791,2025-03-09 06:36:59,CASH,APPROVED
1000048,1024,Comercio_1024,R9311,62231,2025-05-17 12:10:10,PSE,APPROVED
1000049,1006,Comercio_1006,I5610,111752,2025-06-14 07:34:24,NEQUI,APPROVED
1000050,1022,Comercio_1022,R9311,35105,2025-06-02 10:45:50,CARD,APPROVED
1000051,1022,Comercio_1022,R9311,28541,2025-05-25 22:27:19,CARD,APPROVED
1000052,1038,Comercio_1038,H4922,45970,2025-02-16 04:07:39,BANCOLOMBIA,APPROVED
1000053,1016,Comercio_1016,G4773,18051,2025-08-07 22:07:18,BANCOLOMBIA,DECLINED
1000054,1002,Comercio_1002,G4711,27672,2025-06-09 04:10:51,BANCOLOMBIA,APPROVED
1000055,1046,Comercio_1046,G4761,44296,2025-07-06 06:10:41,CARD,APPROVED
1000056,1029,Comercio_1029,S9602,34100,2025-05-09 08:11:37,PSE,APPROVED
1000057,1034,Comercio_1034,G4791,77500,2025-03-28 21:00:28,BANCOLOMBIA,APPROVED
1000058,1007,Comercio_1007,I5610,32661,2025-04-08 04:10:37,CASH,APPROVED
1000059,1024,Comercio_1024,R9311,43415,2025-04-30 06:18:33,,APPROVED
1000060,1005,Comercio_1005,I5610,28647,2025-04-05 08:00:36,CARD,APPROVED
1000061,1035,Comercio_1035,H4922,17459,2025-05-07 16:50:04,BANCOLOMBIA,APPROVED
1000062,1018,Comercio_1018,G4773,81004,2025-08-06 15:29:59,CASH,APPROVED
1000063,1040,Comercio_1040,G4741,87076,2025-03-05 22:48:04,CASH,APPROVED
1000064,1039,Comercio_1039,H4922,20802,2025-04-13 08:53:14,,APPROVED
1000065,1023,Comercio_1023,R9311,37060,2025-04-11 20:38:44,BANCOLOMBIA,DECLINED
1000066,1036,Comercio_1036,H4922,15790,2025-05-29 22:26:08,PSE,APPROVED
1000067,1012,Comercio_1012,G4751,231701,2025-03-14 15:36:35,PSE,APPROVED
1000068,1045,Comercio_1045,G4761,39768,2025-07-14 13:53:40,BANCOLOMBIA,APPROVED
1000069,1004,Comercio_1004,G4711,28506,2025-02-24 14:36:35,NEQUI,APPROVED
1000070,1002,Comercio_1002,G4711,26619,2025-08-11 04:42:22,,APPROVED
1000071,1042,Comercio_1042,G4741,101382,2025-05-16 19:33:12,CARD,DECLINED
1000072,1014,Comercio_1014,G4751,222393,2025-07-25 00:59:01,NEQUI,APPROVED
1000073,1049,Comercio_1049,G4761,34196,2025-03-29 14:44:16,PSE,APPROVED
1000074,1018,Comercio_1018,G4773,72898,2025-02-16 06:34:04,PSE,APPROVED
1000075,1005,Comercio_1005,I5610,27161,2025-04-23 06:00:47,BANCOLOMBIA,APPROVED
1000076,1014,Comercio_1014,G4751,175067,2025-04-28 17:40:49,NEQUI,APPROVED
1000077,1006,Comercio_1006,I5610,74629,2025-07-31 11:19:00,NEQUI,APPROVED
1000078,1024,Comercio_1024,R9311,82083,2025-04-13 17:24:29,BANCOLOMBIA,DECLINED
1000079,1017,Comercio_1017,G4773,22421,2025-07-09 08:45:06,CARD,APPROVED
1000080,1029,Comercio_1029,S9602,66563,2025-07-13 16:33:25,NEQUI,APPROVED
1000081,1040,Comercio_1040,G4741,94423,2025-05-22 11:48:50,BANCOLOMBIA,APPROVED
1000082,1023,Comercio_1023,R9311,83278,2025-06-18 12:14:05,PSE,APPROVED
1000083,1010,Comercio_1010,G4751,269891,2025-06-10 02:54:47,NEQUI,APPROVED
1000084,1023,Comercio_1023,R9311,175703,2025-06-03 18:02:48,PSE,APPROVED
1000085,1022,Comercio_1022,R9311,42973,2025-03-28 20:42:07,CARD,APPROVED
